prenom,n_f,n_m
ADELYAH,5,0
ADELYNA,10,0
ADELYNE,275,0
ADELYO,0,10
ADELYS,25,0
ADEM,0,13915
ADEMA,10,0
ADEMAR,0,5
ADEME,0,185
ADEMI,0,5
ADEN,60,1130
ADENA,60,0
ADENAIS,5,0
ADENCIO,0,5
ADENE,5,0
ADENIS,0,5
ADENISE,5,0
ADENN,0,15
ADENOR,10,5
ADENORA,85,0
ADENSSIO,0,5
ADEODAT,0,20
ADEOLA,5,0
ADERITO,0,100
ADERYAN,0,5
ADES,0,20
ADESUWA,30,0
ADEYN,0,5
ADHAM,0,395
ADHAN,0,165
ADHANE,0,10
ADHARA,10,0
ADHARVA,0,5
ADHAV,0,5
ADHEESH,0,5
ADHEL,0,5
ADHELARD,0,5
ADHEM,0,55
ADHEMAR,0,185
ADHEN,0,90
ADHI,0,5
ADHIRA,45,0
ADHIRAN,0,30
ADHISH,0,5
ADHIYA,5,0
ADHRIT,0,5
ADHVIK,0,5
ADHVIKA,5,0
ADHYA,5,0
ADI,0,90
ADIA,105,0
ADIAN,0,25
ADIANA,5,0
ADIARA,5,0
ADIARATOU,40,0
ADIB,0,575
ADIBA,15,0
ADIDI,10,0
ADIDJA,20,0
ADIEL,0,35
ADIJA,5,0
ADIL,0,5730
ADILA,135,0
ADILE,20,290
ADILIA,25,0
ADILL,0,5
ADILLE,0,5
ADILSON,0,90
ADILYA,5,0
ADIM,0,90
ADIN,0,80
ADINA,170,0
ADINE,135,0
ADIRA,20,0
ADIS,0,45
ADISA,5,0
ADISON,10,0
ADISSON,25,0
ADITH,0,5
ADITHI,5,0
ADITHYA,0,30
ADITI,45,0
ADITYA,0,100
ADIXIA,260,0
ADIXYA,5,0
ADIYAH,5,0
ADIYAN,0,10
ADIZA,5,0
ADJA,720,0
ADJA-FATOU,10,0
ADJAN,0,5
ADJANI,0,5
ADJARA,70,0
ADJARATOU,70,0
ADJI,120,20
ADJIA,40,0
ADJIB,0,5
ADJILA,50,0
ADJMAL,0,30
ADLAN,0,145
ADLANE,0,215
ADLAY,0,5
ADLEN,0,165
ADLENE,0,225
ADLER,0,5
ADLEY,0,10
ADLINE,100,0
ADMIR,0,30
ADMIRE,0,5
ADNA,120,0
ADNAE,5,0
ADNAN,0,1110
ADNANE,0,1040
ADNEN,0,55
ADNENE,0,45
ADNIT,0,5
ADODO,0,5
ADOLF,0,45
ADOLFO,0,155
ADOLIE,5,0
ADOLINE,5,0
ADOLORATA,5,0
ADOLPH,0,45
ADOLPHA,10,0
ADOLPHE,115,16400
ADOLPHINE,2165,0
ADOLPHO,0,5
ADON,0,20
ADONAI,60,210
ADONAY,35,35
ADONIA,20,0
ADONIE,15,0
ADONIS,0,2455
ADONISE,20,0
ADONYS,0,140
ADOR,0,10
ADORA,55,0
ADORACION,70,0
ADORATION,55,0
ADOTE,0,5
ADOUDA,5,0
ADOUM,0,10
ADRA,5,0
ADRIA,590,20
ADRIAAN,0,10
ADRIAN,0,6570
ADRIANA,3695,0
ADRIANE,495,0
ADRIANI,0,5
ADRIANN,0,275
ADRIANNA,425,0
ADRIANNE,190,0
ADRIANNO,0,5
ADRIANO,0,2885
ADRIANUS,0,5
ADRIEL,5,1555
ADRIELA,5,0
ADRIELLA,10,0
ADRIELLE,105,0
ADRIEN,25,139390
ADRIENE,5,0
ADRIENNA,5,0
ADRIENNE,34925,0
ADRIJA,5,0
ADRIJAN,0,5
ADRINA,15,0
ADRIYA,10,0
ADRIYAN,0,5
ADRIYEL,0,5
ADRYA,40,0
ADRYAN,0,305
ADRYANA,90,0
ADRYANN,0,60
ADRYANNA,10,0
ADRYANO,0,25
ADRYEL,0,75
ADRYEN,0,150
ADSHAYAN,0,5
ADSO,0,5
ADSON,0,5
ADVIK,0,70
ADVIKA,30,0
ADY,0,5
ADYA,10,0
ADYAN,0,55
ADYB,0,5
ADYL,0,120
ADYSON,40,0
ADYSSON,50,0
ADYXIA,10,0
ADZO,0,10
AEDAN,0,1360
AEDANN,0,30
AEDEN,10,500
AEDENN,0,5
AEDHAN,0,15
AEESHA,5,0
AEGON,0,45
AEKO,0,5
AEL,140,905
AELA,1230,0
AELAIG,5,0
AELAN,5,40
AELANE,5,0
AELIA,1215,0
AELIANA,5,0
AELIE,95,0
AELIG,180,225
AELINA,15,0
AELINE,155,0
AELIO,0,15
AELIS,460,0
AELITA,60,0
AELIZ,5,0
AELLA,95,0
AELLE,210,0
AELLY,10,0
AELLYS,45,0
AELWENN,20,0
AELY,120,0
AELYA,535,0
AELYAH,30,0
AELYE,10,0
AELYN,35,0
AELYNA,10,0
AELYNE,155,0
AELYNN,165,0
AELYO,0,10
AELYS,2145,0
AELYSS,40,0
AELYSSE,5,0
AEMI,5,0
AENA,130,0
AENAELLE,45,0
AENNA,5,0
AENOR,390,0
AENORA,10,0
AEON,0,5
AERIS,460,0
AERITH,90,0
AERON,0,65
AERYN,170,0
AERYNE,40,0
AERYS,80,0
AESA,55,0
AETHELSTAN,0,5
AEVA,5,0
AEWEN,0,5
AEYA,5,0
AEYDEN,0,5
AFAF,320,0
AFAFE,40,0
AFAN,0,5
AFDAL,0,30
AFEF,155,0
AFENE,0,5
AFENI,15,0
AFERDITA,5,0
AFFAF,15,0
AFFAN,0,55
AFFEF,10,0
AFFIF,0,15
AFFOU,35,0
AFFOUCHATA,5,0
AFFOUE,5,0
AFFOUSSIATA,20,0
AFI,15,0
AFIA,65,0
AFID,0,10
AFIDA,125,0
AFIF,0,360
AFIFA,140,0
AFIFIA,5,0
AFINA,5,0
AFIYA,40,0
AFIYAH,10,0
AFNAN,225,25
AFNANE,405,0
AFNEN,15,0
AFNENE,70,0
AFONSO,0,340
AFRA,75,0
AFRAH,30,0
AFRAHAM,0,5
AFRAHIM,0,105
AFRAHIME,0,10
AFREEN,5,0
AFRICA,5,0
AFRIM,0,10
AFRIN,5,0
AFSA,25,0
AFSAN,0,5
AFSANA,10,0
AFTAB,0,5
AFTON,30,0
AFTONE,15,0
AFZAL,0,15
AGALYA,5,0
AGAM,0,5
AGAN,0,10
AGANA,5,0
AGAPE,5,0
AGAPIT,5,10
AGAPITO,0,10
AGARAN,0,15
AGASH,0,35
AGASTYA,0,15
AGATA,280,0
AGATE,395,0
AGATH,5,0
AGATHA,820,0
AGATHE,62145,190
AGATHINE,5,0
AGATHON,0,70
AGATINA,10,0
AGENOR,0,190
AGHILAS,0,145
AGHILES,0,205
AGIT,0,55
AGITH,0,5
AGLAE,2055,0
AGLAEE,285,0
AGLAIA,15,0
AGNAN,95,340
AGNECE,5,0
AGNEL,0,50
AGNELA,35,0
AGNELLA,5,0
AGNES,113295,270
AGNES-MARIE,25,0
AGNESA,20,0
AGNESE,140,0
AGNESSE,5,0
AGNETA,5,0
AGNIELA,40,0
AGNIES,15,0
AGNIESZKA,10,0
AGOP,0,60
AGOSTINA,5,0
AGOSTINHO,0,255
AGOSTINO,0,295
AGRIPPINE,5,0
AGRON,0,5
AGUEDA,30,0
AGUIBOU,0,30
AGUSTIN,0,190
AGUSTINA,45,0
AGUSTINHO,0,45
AGUSTINO,0,10
AGUSTO,0,5
AHAAN,0,5
AHAANA,5,0
AHAD,0,40
AHAMADA,0,55
AHAMADI,0,30
AHAMADOU,0,45
AHAMED,0,70
AHANA,40,0
AHARON,0,340
AHARONE,0,5
AHAVA,90,0
AHCEN,0,50
AHCENE,0,665
AHED,25,0
AHELI,15,0
AHIL,0,25
AHILAN,0,5
AHINA,5,0
AHINOA,5,0
AHKIM,0,15
AHLAM,940,0
AHLAME,270,0
AHLAN,0,20
AHLAS,0,20
AHLEM,1425,0
AHLEME,115,0
AHLIMA,5,0
AHLYA,5,0
AHMAD,0,1595
AHMAD-TIDIANE,0,5
AHMAD-TIDJANE,0,5
AHMADA,0,5
AHMADOU,0,395
AHMADOU-BAMBA,0,45
AHMAR,0,5
AHMAT,0,65
AHMED,0,23535
AHMED-ALI,0,15
AHMED-AMIN,0,5
AHMED-AMINE,0,140
AHMED-AMIR,0,10
AHMED-EMIN,0,5
AHMED-MEHDI,0,5
AHMED-NASSIM,0,5
AHMED-RAYAN,0,5
AHMED-SEKOU,0,5
AHMED-TIDIANE,0,20
AHMED-YACINE,0,50
AHMED-YASSIN,0,5
AHMED-YASSINE,0,80
AHMED-YOUSSEF,0,10
AHMEDOU,0,5
AHMEL,15,0
AHMES,0,5
AHMET,0,2795
AHMET-AKIF,0,5
AHMET-ALI,0,5
AHMET-CAN,0,20
AHMET-EFE,0,15
AHMET-EMIN,0,5
AHMET-EMRE,0,5
AHMET-HAKAN,0,5
AHMID,0,95
AHNA,15,0
AHNAF,0,30
AHRON,0,50
AHRONN,0,5
AHSAN,0,15
AHSEN,165,0
AHSOKA,5,0
AHUI,0,5
AHYA,5,0
AHYAN,0,45
AHYNA,20,0
AI,25,0
AIA,20,0
AIAN,0,35
AIANA,55,0
AIBA,5,0
AICHA,20270,0
AICHAT,45,0
AICHATA,230,0
AICHATOU,240,0
AICHE,105,0
AICHETOU,25,0
AICHOUCHE,10,0
AID,0,5
AIDA,4550,0
AIDAH,5,0
AIDAN,0,2620
AIDANE,0,15
AIDANN,0,110
AIDEE,65,0
AIDEM,0,15
AIDEN,90,3535
AIDENN,0,45
AIDI,10,0
AIDINE,0,15
AIFA,5,0
