ags,name,land,lat,long
16077009,Göllnitz,Thüringen,50.949335785432346,12.317932843510366
01051119,Volsemenhusen,Schleswig-Holstein,53.97215347589798,9.071025230792994
01051005,Barkenholm,Schleswig-Holstein,54.22852220689966,9.181082606605653
01051023,Dörpling,Schleswig-Holstein,54.256450466926445,9.319428632055294
01051067,Lieth,Schleswig-Holstein,54.15815712769464,9.061660994635881
01053005,Bälau,Schleswig-Holstein,53.620328345622596,10.612322229437337
01053082,Lanze,Schleswig-Holstein,53.39320247672735,10.601621734851769
01053016,Brunsmark,Schleswig-Holstein,53.612498740171084,10.735271291220702
01053040,Groß Disnack,Schleswig-Holstein,53.7365695617413,10.689615290885984
01053110,Schmilau,Schleswig-Holstein,53.660324603587085,10.768006866383118
01053044,Groß Schenkenberg,Schleswig-Holstein,53.79495064808113,10.576853948492367
01054149,Wenningstedt-Braderup (Sylt),Schleswig-Holstein,54.935620974904765,8.336730696599858
01054085,Nebel,Schleswig-Holstein,54.650748083483656,8.339447481614602
01054141,Uelvesbüll,Schleswig-Holstein,54.41364339326139,8.938604814825196
01055007,Bosau,Schleswig-Holstein,54.09413171255774,10.509181066710491
01055039,Sierksdorf,Schleswig-Holstein,54.08277287333687,10.757653737654234
01056043,Rellingen,Schleswig-Holstein,53.64786631974328,9.852355547715709
01056029,Klein Nordende,Schleswig-Holstein,53.72275772193083,9.675707861454512
01056011,Bullenkuhlen,Schleswig-Holstein,53.767576636356495,9.746122906474522
01056037,Neuendeich,Schleswig-Holstein,53.684439810329245,9.602526211269643
01057004,Behrensdorf (Ostsee),Schleswig-Holstein,54.33498908576543,10.608576347199843
01057013,Dannau,Schleswig-Holstein,54.240108563596316,10.568130087667864
01057054,Nettelsee,Schleswig-Holstein,54.171810719089954,10.182990120427242
01057003,Barsbek,Schleswig-Holstein,54.40416972241802,10.31516895691395
01057079,Stein,Schleswig-Holstein,54.41044262261125,10.26366403204811
01058160,Techelsdorf,Schleswig-Holstein,54.21162269529175,10.04886492021046
01058065,Groß Vollstedt,Schleswig-Holstein,54.23121728141986,9.865328992191865
01058147,Schülp b.Nortorf,Schleswig-Holstein,54.156412031379745,9.891760948608644
01058124,Osterrönfeld,Schleswig-Holstein,54.27487548958927,9.714285065690714
01058024,Borgstedt,Schleswig-Holstein,54.34129321612796,9.704903467652798
01058015,Beringstedt,Schleswig-Holstein,54.11810562477865,9.533023184246737
01058125,Osterstedt,Schleswig-Holstein,54.10829715233369,9.583251204980638
01059045,Kappeln,Schleswig-Holstein,54.662327387116264,9.95270386422143
01059019,Dannewerk,Schleswig-Holstein,54.47654133273568,9.492530436965867
01059116,Großsolt,Schleswig-Holstein,54.6983322778289,9.520643901726713
01059002,Arnis,Schleswig-Holstein,54.63037155520006,9.930101751600404
01059171,Tarp,Schleswig-Holstein,54.66226613308132,9.40472016328706
01059129,Jardelund,Schleswig-Holstein,54.834498712144715,9.212484098828007
01059094,Ulsnis,Schleswig-Holstein,54.574287691904146,9.750975974741248
01059148,Niesgrau,Schleswig-Holstein,54.74539690319344,9.826268630114066
01059155,Rabenholz,Schleswig-Holstein,54.71234030450922,9.907060671893738
01060048,Klein Gladebrügge,Schleswig-Holstein,53.91380070989044,10.323727642846501
01060097,Wensin,Schleswig-Holstein,53.99542350162397,10.41753563100202
01061080,Oeschebüttel,Schleswig-Holstein,53.99236554896154,9.709246927953355
01062023,Großhansdorf,Schleswig-Holstein,53.665015685816186,10.283690805126884
03151039,Weyhausen,Niedersachsen,52.46322066625951,10.717735213226991
03154016,Querenhorst,Niedersachsen,52.33505871639511,10.962471607102886
03155010,Nörten-Hardenberg,Niedersachsen,51.6336621096392,9.955079522358027
03158501,Am Großen Rhode,Niedersachsen,52.19603595813704,10.778513799761747
03251035,Staffhorst,Niedersachsen,52.71397976136326,8.99115583831523
03252005,Emmerthal,Niedersachsen,52.024463255113986,9.409386140807207
03254014,Elze,Niedersachsen,52.11864544537184,9.704899148373835
03255503,Eschershausen,Niedersachsen,51.94446059738317,9.685224557555548
03256010,Hassel (Weser),Niedersachsen,52.80149253233503,9.241778044412857
03256006,Estorf,Niedersachsen,52.58922671460507,9.154179287676453
03257034,Seggebruch,Niedersachsen,52.305414148787534,9.09340875483798
03353006,Dohren,Niedersachsen,53.309777825243856,9.698506621173632
03354018,Lüchow (Wendland),Niedersachsen,52.98522526947589,11.159352760832517
03355039,Vögelsen,Niedersachsen,53.28252713341168,10.339426557225597
03355025,Nahrendorf,Niedersachsen,53.16875892639672,10.837949464191208
03356001,Axstedt,Niedersachsen,53.35536663569102,8.773445519918683
03357016,Gnarrenburg,Niedersachsen,53.379659463098704,9.02280424340065
03357031,Kirchwalsede,Niedersachsen,53.030156474762414,9.42298457289145
03360022,Stoetze,Niedersachsen,53.0551956130653,10.799028490538648
03361010,Riede,Niedersachsen,52.96673816688614,8.939754467734488
03451004,Edewecht,Niedersachsen,53.11762526068601,7.992427713643954
03454031,Lengerich,Niedersachsen,52.55717325673183,7.540047522066679
03454023,Hüven,Niedersachsen,52.78360399276526,7.554417648664416
03454048,Spahnharrenstätte,Niedersachsen,52.87806938445843,7.597178416637048
03455015,Schortens,Niedersachsen,53.54574373871564,7.963920934950277
03455020,Wangerland,Niedersachsen,53.654877438364196,7.932268775409795
03456027,Schüttorf,Niedersachsen,52.31346827300526,7.221371669151556
03457008,Filsum,Niedersachsen,53.249635385626476,7.643844236674049
03459001,Alfhausen,Niedersachsen,52.49545306452157,7.953282816227626
05154064,Weeze,Nordrhein-Westfalen,51.62106330631862,6.1822719428117825
05170012,Hamminkeln,Nordrhein-Westfalen,51.74964645495065,6.617117911526851
05170032,Rheinberg,Nordrhein-Westfalen,51.55600874076063,6.610088666022338
05362036,Pulheim,Nordrhein-Westfalen,51.00012151953172,6.784285266257127
05366036,Schleiden,Nordrhein-Westfalen,50.55705548359564,6.45183555144115
05374008,Engelskirchen,Nordrhein-Westfalen,50.985055090721765,7.424001970096561
05513000,Gelsenkirchen,Nordrhein-Westfalen,51.55392948607441,7.07116594944168
05554040,Raesfeld,Nordrhein-Westfalen,51.76630964684019,6.833289721940958
05554052,Schöppingen,Nordrhein-Westfalen,52.0852051395689,7.199216138442531
05554060,Südlohn,Nordrhein-Westfalen,51.94579844672395,6.8478286657059195
05566016,Hörstel,Nordrhein-Westfalen,52.2895580196346,7.584905894614265
05570024,Everswinkel,Nordrhein-Westfalen,51.918742706481645,7.842276549097615
05754028,Rheda-Wiedenbrück,Nordrhein-Westfalen,51.8389396265017,8.305735718019118
05766024,Dörentrup,Nordrhein-Westfalen,52.033756745124904,9.032174978825616
05958012,Brilon,Nordrhein-Westfalen,51.40810913726562,8.604168281745412
05958040,Schmallenberg,Nordrhein-Westfalen,51.183119816785734,8.315762487080354
05966016,Kirchhundem,Nordrhein-Westfalen,51.056806383282066,8.112149754088268
05966020,Lennestadt,Nordrhein-Westfalen,51.127760975721735,8.078868295380213
05970036,Neunkirchen,Nordrhein-Westfalen,50.78669544651007,8.016152045006946
05978024,Lünen,Nordrhein-Westfalen,51.611036417693114,7.508749170925102
06432018,Pfungstadt,Hessen,49.79993469077247,8.588403078696413
06432019,Reinheim,Hessen,49.82877355336147,8.825117600507983
06435010,Gelnhausen,Hessen,50.204797906737106,9.192913802081051
06435014,Hanau,Hessen,50.126834729204106,8.93454785640813
06435024,Ronneburg,Hessen,50.2246056713532,9.04733067192913
06436003,Eschborn,Hessen,50.15116268950159,8.565554477722017
06439003,Eltville am Rhein,Hessen,50.04763460998019,8.081781389858444
06440023,Rosbach v.d.Höhe,Hessen,50.286837901760066,8.685625163705133
06532002,Bischoffen,Hessen,50.712344273616914,8.501083902896575
06532005,Dietzhölztal,Hessen,50.84845272112493,8.296498632946923
06532010,Greifenstein,Hessen,50.594951063418634,8.257228216061552
06532019,Siegbach,Hessen,50.75066211042949,8.415842637056436
06535012,Lautertal (Vogelsberg),Hessen,50.59021255634147,9.281555483752554
06631003,Dipperz,Hessen,50.534030737010504,9.81382648467267
06631018,Neuhof,Hessen,50.47064354408709,9.579269364164785
06632017,Ronshausen,Hessen,50.93879311039256,9.875247559871669
06632020,Wildeck,Hessen,50.954056437537936,9.979089290840601
06634015,Morschen,Hessen,51.062976419069074,9.611520165401256
06634018,Niedenstein,Hessen,51.21935896642672,9.307340137034588
06636015,Weißenborn,Hessen,51.118168313880126,10.126574148041632
